ID,Block,Selection,Sex,LW,RW,Thorax,Wings
CHfF1,1,CU,Female,1.148,1.112,0.722,1.13
CHfF2,1,CU,Female,1.166,1.102,0.707,1.134
CHfF3,1,CU,Female,0.996,0.924,0.623,0.96
CHfF4,1,CU,Female,1,0.982,0.629,0.991
CHfF5,1,CU,Female,0.95,0.931,0.595,0.9405
CHfF6,1,CU,Female,0.97,1.02,0.531,0.995
CHfF7,1,CU,Female,0.954,0.909,0.545,0.9315
CHfF8,1,CU,Female,1.107,1.066,0.607,1.0865
CHfF9,1,CU,Female,1.075,1.03,0.558,1.0525
CHfF10,1,CU,Female,1.087,1.099,0.636,1.093
CHfF11,1,CU,Female,1.139,1.099,0.705,1.119
CHfF12,1,CU,Female,1.115,1.059,0.645,1.087
CHfF13,1,CU,Female,1.084,1.033,0.573,1.0585
CHfF14,1,CU,Female,1.053,1.02,0.629,1.0365
CHfF15,1,CU,Female,1.058,1.065,0.613,1.0615
CHmF1,1,CU,Male,0.985,0.997,0.576,0.991
CHmF2,1,CU,Male,0.886,0.889,0.456,0.8875
CHmF3,1,CU,Male,1.099,1.102,0.623,1.1005
CHmF4,1,CU,Male,1.009,1.019,0.529,1.014
CHmF5,1,CU,Male,0.996,1.001,0.55,0.9985
CHmF6,1,CU,Male,1.002,1.009,0.547,1.0055
CHmF7,1,CU,Male,1.024,1.026,0.51,1.025
CHmF8,1,CU,Male,0.933,0.959,0.523,0.946
CHmF9,1,CU,Male,1,0.968,0.524,0.984
CHmF10,1,CU,Male,0.872,0.879,0.508,0.8755
CHmF11,1,CU,Male,0.963,0.99,0.59,0.9765
CHmF12,1,CU,Male,0.884,0.858,0.479,0.871
CHmF13,1,CU,Male,1.009,0.976,0.461,0.9925
CHmF14,1,CU,Male,0.905,0.937,0.468,0.921
CHmF15,1,CU,Male,0.978,1.017,0.531,0.9975
MHfF1,1,MB,Female,1.078,1.061,0.583,1.0695
MHfF2,1,MB,Female,1.063,1.055,0.622,1.059
MHfF3,1,MB,Female,1.07,1.08,0.6,1.075
MHfF4,1,MB,Female,1.082,1.15,0.645,1.116
MHfF5,1,MB,Female,1.139,1.117,0.675,1.128
MHfF6,1,MB,Female,1.159,1.156,0.651,1.1575
MHfF7,1,MB,Female,1.22,1.259,0.773,1.2395
MHfF8,1,MB,Female,1.171,1.214,0.782,1.1925
MHfF9,1,MB,Female,1.246,1.268,0.726,1.257
MHfF10,1,MB,Female,1.22,1.199,0.705,1.2095
MHfF11,1,MB,Female,1.152,1.099,0.652,1.1255
MHfF12,1,MB,Female,1.342,1.327,0.786,1.3345
MHfF13,1,MB,Female,1.144,1.111,0.645,1.1275
MHfF14,1,MB,Female,0.995,1.053,0.648,1.024
MHfF15,1,MB,Female,1.081,1.092,0.676,1.0865
MHmF1,1,MB,Male,1.107,1.131,0.655,1.119
MHmF2,1,MB,Male,1.08,1.02,0.564,1.05
MHmF3,1,MB,Male,1.091,1.14,0.655,1.1155
MHmF4,1,MB,Male,1.189,1.21,0.667,1.1995
MHmF5,1,MB,Male,1.156,1.114,0.705,1.135
MHmF6,1,MB,Male,0.952,0.972,0.601,0.962
MHmF7,1,MB,Male,1.045,1.067,0.565,1.056
MHmF8,1,MB,Male,1.056,1.063,0.618,1.0595
MHmF9,1,MB,Male,1.062,1.075,0.591,1.0685
MHmF10,1,MB,Male,0.984,1.02,0.6,1.002
MHmF11,1,MB,Male,1.006,1.082,0.575,1.044
MHmF12,1,MB,Male,0.911,0.963,0.531,0.937
MHmF13,1,MB,Male,0.959,0.954,0.533,0.9565
MHmF14,1,MB,Male,0.991,1.008,0.515,0.9995
MHmF15,1,MB,Male,1.044,1.035,0.615,1.0395
CHfF1,2,CU,Female,1.155,1.174,0.668,1.1645
CHfF2,2,CU,Female,1.062,1.05,0.673,1.056
CHfF3,2,CU,Female,1.099,1.104,0.679,1.1015
CHfF4,2,CU,Female,1.102,1.062,0.708,1.082
CHfF5,2,CU,Female,1.009,0.992,0.635,1.0005
CHfF6,2,CU,Female,1.09,1.134,0.643,1.112
CHfF7,2,CU,Female,1.072,1.07,0.643,1.071
CHfF8,2,CU,Female,1.033,1.056,0.625,1.0445
CHfF9,2,CU,Female,1.086,1.067,0.65,1.0765
CHfF10,2,CU,Female,1.113,1.099,0.649,1.106
CHfF11,2,CU,Female,1.067,1.099,0.733,1.083
CHfF12,2,CU,Female,1.123,1.131,0.685,1.127
CHfF13,2,CU,Female,1.164,1.158,0.86,1.161
CHfF14,2,CU,Female,1.102,1.114,0.693,1.108
CHfF15,2,CU,Female,1.119,1.149,0.703,1.134
CHmF1,2,CU,Male,1.012,1.069,0.653,1.0405
CHmF2,2,CU,Male,0.939,0.923,0.577,0.931
CHmF3,2,CU,Male,1.016,1.055,0.68,1.0355
CHmF4,2,CU,Male,1.011,0.979,0.66,0.995
CHmF5,2,CU,Male,1.008,1.039,0.605,1.0235
CHmF6,2,CU,Male,0.912,0.958,0.62,0.935
CHmF7,2,CU,Male,0.969,1.021,0.623,0.995
CHmF8,2,CU,Male,0.957,0.98,0.621,0.9685
CHmF9,2,CU,Male,0.886,0.907,0.563,0.8965
CHmF10,2,CU,Male,1.03,1.056,0.645,1.043
CHmF11,2,CU,Male,0.973,1.011,0.55,0.992
CHmF12,2,CU,Male,0.926,0.954,0.616,0.94
CHmF13,2,CU,Male,1.048,1.043,0.619,1.0455
CHmF14,2,CU,Male,1.043,0.992,0.7,1.0175
CHmF15,2,CU,Male,0.942,0.974,0.606,0.958
MHfF1,2,MB,Female,0.833,0.845,0.6,0.839
MHfF2,2,MB,Female,1.047,1.065,0.63,1.056
MHfF3,2,MB,Female,1.037,1.026,0.708,1.0315
MHfF4,2,MB,Female,1.012,0.991,0.65,1.0015
MHfF5,2,MB,Female,0.879,0.834,0.619,0.8565
MHfF6,2,MB,Female,0.984,0.997,0.628,0.9905
MHfF7,2,MB,Female,1.108,1.16,0.741,1.134
MHfF8,2,MB,Female,0.988,1.012,0.638,1
MHfF9,2,MB,Female,1.001,0.965,0.577,0.983
MHfF10,2,MB,Female,0.958,0.947,0.594,0.9525
MHfF11,2,MB,Female,0.962,1.034,0.615,0.998
MHfF12,2,MB,Female,0.999,1.007,0.683,1.003
MHfF13,2,MB,Female,0.961,0.996,0.551,0.9785
MHfF14,2,MB,Female,0.971,1.001,0.599,0.986
MHfF15,2,MB,Female,0.896,0.952,0.609,0.924
MHmF1,2,MB,Male,0.905,0.96,0.582,0.9325
MHmF2,2,MB,Male,0.845,0.897,0.592,0.871
MHmF3,2,MB,Male,0.917,0.92,0.574,0.9185
MHmF4,2,MB,Male,0.978,1.002,0.612,0.99
MHmF5,2,MB,Male,0.913,0.933,0.476,0.923
MHmF6,2,MB,Male,0.94,0.964,0.593,0.952
MHmF7,2,MB,Male,1.002,1.026,0.693,1.014
MHmF8,2,MB,Male,0.93,0.967,0.585,0.9485
MHmF9,2,MB,Male,0.917,0.927,0.563,0.922
MHmF10,2,MB,Male,1.02,1.03,0.676,1.025
MHmF11,2,MB,Male,1,1.064,0.652,1.032
MHmF12,2,MB,Male,0.982,0.998,0.56,0.99
MHmF13,2,MB,Male,0.864,0.914,0.55,0.889
MHmF14,2,MB,Male,0.917,0.938,0.571,0.9275
MHmF15,2,MB,Male,0.904,0.922,0.571,0.913
CHfF1,3,CU,Female,1.168,1.174,0.74,1.171
CHfF2,3,CU,Female,1.178,1.354,0.74,1.266
CHfF3,3,CU,Female,1.186,1.197,0.66,1.1915
CHfF4,3,CU,Female,1.165,1.194,0.673,1.1795
CHfF5,3,CU,Female,1.069,1.077,0.675,1.073
CHfF6,3,CU,Female,1.132,1.141,0.686,1.1365
CHfF7,3,CU,Female,1.294,1.328,0.833,1.311
CHfF8,3,CU,Female,1.082,1.075,0.666,1.0785
CHfF9,3,CU,Female,1.133,1.122,0.696,1.1275
CHfF10,3,CU,Female,1.327,1.327,0.799,1.327
CHfF11,3,CU,Female,1.167,1.178,0.733,1.1725
CHfF12,3,CU,Female,1.157,1.151,0.576,1.154
CHfF13,3,CU,Female,0.982,1.038,0.682,1.01
CHfF14,3,CU,Female,1.068,1.069,0.628,1.0685
CHfF15,3,CU,Female,1.305,1.346,0.662,1.3255
CHmF1,3,CU,Male,1.048,1.052,0.609,1.05
CHmF2,3,CU,Male,1.034,1.042,0.629,1.038
CHmF3,3,CU,Male,0.974,1.011,0.594,0.9925
CHmF4,3,CU,Male,1.106,1.067,0.651,1.0865
CHmF5,3,CU,Male,1.054,0.991,0.6,1.0225
CHmF6,3,CU,Male,1.022,0.995,0.625,1.0085
CHmF7,3,CU,Male,1.052,1.04,0.597,1.046
CHmF8,3,CU,Male,0.995,0.968,0.6,0.9815
CHmF9,3,CU,Male,1.033,1.055,0.631,1.044
CHmF10,3,CU,Male,1.011,0.992,0.607,1.0015
CHmF11,3,CU,Male,1.126,1.084,0.633,1.105
CHmF12,3,CU,Male,1.08,1.097,0.692,1.0885
CHmF13,3,CU,Male,1.067,1.058,0.602,1.0625
CHmF14,3,CU,Male,1.101,1.078,0.703,1.0895
CHmF15,3,CU,Male,1.154,1.169,0.756,1.1615
MHfF1,3,MB,Female,0.968,0.923,0.582,0.9455
MHfF2,3,MB,Female,1.013,1.012,0.528,1.0125
MHfF3,3,MB,Female,0.992,0.99,0.662,0.991
MHfF4,3,MB,Female,0.923,0.936,0.653,0.9295
MHfF5,3,MB,Female,0.97,0.968,0.613,0.969
MHfF6,3,MB,Female,1.05,1.025,0.607,1.0375
MHfF7,3,MB,Female,1.203,1.184,0.703,1.1935
MHfF8,3,MB,Female,1.039,1.059,0.673,1.049
MHfF9,3,MB,Female,1.035,1.015,0.609,1.025
MHfF10,3,MB,Female,0.894,0.936,0.522,0.915
MHfF11,3,MB,Female,0.947,0.94,0.52,0.9435
MHfF12,3,MB,Female,0.98,0.943,0.55,0.9615
MHfF13,3,MB,Female,0.974,1.034,0.66,1.004
MHfF14,3,MB,Female,1.033,1.001,0.607,1.017
MHfF15,3,MB,Female,1.189,1.05,0.702,1.1195
MHmF1,3,MB,Male,1.006,1.013,0.628,1.0095
MHmF2,3,MB,Male,1.098,1.111,0.751,1.1045
MHmF3,3,MB,Male,1.014,1.011,0.661,1.0125
MHmF4,3,MB,Male,1.117,1.075,0.587,1.096
MHmF5,3,MB,Male,1.121,1.093,0.618,1.107
MHmF6,3,MB,Male,1.006,0.993,0.587,0.9995
MHmF7,3,MB,Male,0.955,0.964,0.599,0.9595
MHmF8,3,MB,Male,1.198,1.211,0.658,1.2045
MHmF9,3,MB,Male,1.015,0.989,0.605,1.002
MHmF10,3,MB,Male,1.036,1.015,0.62,1.0255
MHmF11,3,MB,Male,1.099,1.096,0.741,1.0975
MHmF12,3,MB,Male,1.058,1.049,0.628,1.0535
MHmF13,3,MB,Male,1.098,1.066,0.659,1.082
MHmF14,3,MB,Male,1.008,0.988,0.61,0.998
MHmF15,3,MB,Male,1.054,1.034,0.564,1.044
CHfF1,4,CU,Female,1.038,1.05,0.629,1.044
CHfF2,4,CU,Female,1.178,1.122,0.66,1.15
CHfF3,4,CU,Female,0.982,0.981,0.654,0.9815
CHfF4,4,CU,Female,1.009,1.018,0.663,1.0135
CHfF5,4,CU,Female,1.097,1.087,0.651,1.092
CHfF6,4,CU,Female,1.097,1.067,0.605,1.082
CHfF7,4,CU,Female,1.15,1.146,0.715,1.148
CHfF8,4,CU,Female,1.215,1.204,0.766,1.2095
CHfF9,4,CU,Female,1.166,1.097,0.643,1.1315
CHfF10,4,CU,Female,0.944,0.988,0.593,0.966
CHfF11,4,CU,Female,0.936,0.911,0.495,0.9235
CHfF12,4,CU,Female,1.117,1.089,0.719,1.103
CHfF13,4,CU,Female,0.97,0.984,0.47,0.977
CHfF14,4,CU,Female,1.125,1.103,0.769,1.114
CHfF15,4,CU,Female,1.152,1.145,0.629,1.1485
CHmF1,4,CU,Male,1.018,0.976,0.575,0.997
CHmF2,4,CU,Male,0.924,0.882,0.51,0.903
CHmF3,4,CU,Male,0.979,0.953,0.565,0.966
CHmF4,4,CU,Male,1.02,1.038,0.606,1.029
CHmF5,4,CU,Male,0.795,0.866,0.48,0.8305
CHmF6,4,CU,Male,1.013,1,0.605,1.0065
CHmF7,4,CU,Male,0.94,0.915,0.518,0.9275
CHmF8,4,CU,Male,1.008,1.019,0.653,1.0135
CHmF9,4,CU,Male,0.896,0.865,0.518,0.8805
CHmF10,4,CU,Male,0.925,0.905,0.549,0.915
CHmF11,4,CU,Male,1.006,0.954,0.575,0.98
CHmF12,4,CU,Male,0.933,0.946,0.542,0.9395
CHmF13,4,CU,Male,0.976,0.995,0.571,0.9855
CHmF14,4,CU,Male,1.042,0.996,0.597,1.019
CHmF15,4,CU,Male,1.151,1.113,0.694,1.132
MHfF1,4,MB,Female,1.154,1.135,0.717,1.1445
MHfF2,4,MB,Female,1.104,1.07,0.653,1.087
MHfF3,4,MB,Female,1.213,1.204,0.721,1.2085
MHfF4,4,MB,Female,1.143,1.131,0.737,1.137
MHfF5,4,MB,Female,1.201,1.137,0.701,1.169
MHfF6,4,MB,Female,1.153,1.166,0.646,1.1595
MHfF7,4,MB,Female,1.113,1.115,0.718,1.114
MHfF8,4,MB,Female,1.147,1.138,0.698,1.1425
MHfF9,4,MB,Female,1.187,1.143,0.696,1.165
MHfF10,4,MB,Female,1.078,1.109,0.647,1.0935
MHfF11,4,MB,Female,1.272,1.275,0.739,1.2735
MHfF12,4,MB,Female,1.23,1.253,0.763,1.2415
MHfF13,4,MB,Female,1.171,1.168,0.669,1.1695
MHfF14,4,MB,Female,1.199,1.182,0.708,1.1905
MHfF15,4,MB,Female,1.235,1.29,0.787,1.2625
MHmF1,4,MB,Male,1.066,1.045,0.644,1.0555
MHmF2,4,MB,Male,0.918,1.038,0.584,0.978
MHmF3,4,MB,Male,1.122,1.124,0.598,1.123
MHmF4,4,MB,Male,1.045,1.047,0.603,1.046
MHmF5,4,MB,Male,0.959,0.989,0.594,0.974
MHmF6,4,MB,Male,1.062,1.084,0.619,1.073
MHmF7,4,MB,Male,1.098,1.092,0.619,1.095
MHmF8,4,MB,Male,0.986,1.034,0.646,1.01
MHmF9,4,MB,Male,1.026,1.069,0.647,1.0475
MHmF10,4,MB,Male,1.109,1.129,0.624,1.119
MHmF11,4,MB,Male,1.15,1.143,0.664,1.1465
MHmF12,4,MB,Male,1.118,1.103,0.663,1.1105
MHmF13,4,MB,Male,1.027,1.028,0.606,1.0275
MHmF14,4,MB,Male,1.17,1.142,0.642,1.156
MHmF15,4,MB,Male,0.961,0.94,0.528,0.9505